text_line,source_file_name,page_number,x_min,y_min,x_max,y_max,ocr_confidence
MINISTRY OF LOCAL GOVERNMENT AND RURAL DEVELOFMENT,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1517.0,197.0,2498.0,233.0,0.55951
DUNDUMWEZI COMMUNITY PROJECT- 2025,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1818.0,235.0,2477.0,271.0,0.90752
Reason,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2909.0,276.0,3011.0,312.0,0.99993
Project Description,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1390.0,278.0,1627.0,317.0,0.87476
Type of Project,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2180.0,279.0,2372.0,315.0,0.7317
Comments,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,280.0,2777.0,311.0,0.91362
Sector,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1959.0,282.0,2043.0,311.0,0.99996
Ward,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2461.0,282.0,2536.0,311.0,0.99999
Project Name,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,854.0,284.0,1027.0,320.0,0.75456
No_,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,428.0,288.0,470.0,319.0,0.97181
APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2634.0,316.0,2776.0,354.0,0.99658
TLB,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2180.0,317.0,2238.0,353.0,0.99531
All Wards,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2462.0,317.0,2597.0,353.0,0.88071
Procurement Of TZLB,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1391.0,320.0,1668.0,356.0,0.66379
Transport,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1961.0,320.0,2098.0,356.0,0.99961
NA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,321.0,2952.0,349.0,0.99997
TLB,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,499.0,329.0,555.0,360.0,0.99504
Education,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1961.0,358.0,2098.0,394.0,0.99998
Desks,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2183.0,358.0,2268.0,394.0,0.99991
AIl Wards,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2462.0,358.0,2597.0,394.0,0.66019
APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2633.0,359.0,2774.0,391.0,0.99992
NA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,359.0,2952.0,391.0,0.99998
Procurement Of Desks,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1391.0,361.0,1698.0,397.0,0.96276
DESKS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,498.0,366.0,594.0,403.0,0.99996
Additional Funds For the procurement of,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1391.0,399.0,1940.0,438.0,0.90928
Transport,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1960.0,399.0,2099.0,440.0,0.99997
Grader,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2180.0,399.0,2279.0,435.0,1.0
All Wards,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,400.0,2596.0,432.0,0.36869
GRADER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,499.0,408.0,618.0,440.0,0.99998
3,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,412.0,409.0,431.0,439.0,1.0
APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,436.0,2774.0,467.0,0.99977
NA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,436.0,2952.0,465.0,0.99996
a Motor Grader,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,441.0,1602.0,473.0,0.97238
DRILLING AND INSTALLING OF A SOLAR,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,471.0,1925.0,503.0,0.88288
NNSUFFICEENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2909.0,501.0,3222.0,537.0,0.82099
BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,504.0,1547.0,536.0,0.99994
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2181.0,504.0,2314.0,536.0,0.99956
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2633.0,504.0,2865.0,536.0,0.9512
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,507.0,2065.0,536.0,0.99984
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,507.0,2566.0,536.0,0.99961
NAHILA DIP TANK,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,507.0,513.0,749.0,541.0,0.78162
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2633.0,543.0,2865.0,574.0,0.712
INSUFFICEENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2910.0,543.0,3221.0,574.0,0.49837
CONSTRUCTION OF IX3 CRB,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,545.0,1769.0,577.0,0.67877
EDUCATION,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,545.0,2128.0,577.0,0.87656
CONSTRUCTION,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2181.0,545.0,2396.0,577.0,0.99892
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,545.0,2563.0,577.0,0.99982
NSALALI PRIMARY AND SECONDARY SCHOOL,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,507.0,548.0,1122.0,580.0,0.89889
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,580.0,2866.0,616.0,0.97937
INSUFFICENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,580.0,3222.0,616.0,0.64967
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,584.0,1750.0,615.0,0.92487
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2181.0,584.0,2314.0,615.0,0.96109
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,584.0,2566.0,612.0,0.95749
NZAMAYA KWAMULU AGRICULTURE COOPERATIVE SOCIETY,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,509.0,586.0,1329.0,622.0,0.91304
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,587.0,2065.0,615.0,0.99998
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2632.0,621.0,2866.0,657.0,0.96414
INSUFFICENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,622.0,3221.0,654.0,0.79658
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,625.0,1750.0,654.0,0.61773
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,625.0,2065.0,656.0,0.78984
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,625.0,2314.0,654.0,0.99997
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,625.0,2563.0,654.0,0.89739
KATAMBWELA VILLAGE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,507.0,630.0,837.0,662.0,0.84074
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,660.0,2866.0,696.0,0.83111
INSUFFICIENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,661.0,3221.0,692.0,0.85637
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1392.0,663.0,1750.0,695.0,0.73633
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,663.0,2065.0,695.0,0.99995
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,663.0,2314.0,695.0,0.99744
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,663.0,2566.0,695.0,0.99425
VILLAGE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,672.0,669.0,793.0,697.0,0.99963
CHIBAMBA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,510.0,672.0,659.0,700.0,0.99985
INSUFFICIENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,698.0,3222.0,734.0,0.84276
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,702.0,1750.0,733.0,0.99454
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,702.0,2314.0,733.0,0.77593
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,702.0,2566.0,733.0,0.9665
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,702.0,2865.0,733.0,0.99939
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,704.0,2065.0,733.0,0.97358
SIKABANGA COMMUNITY,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,507.0,710.0,854.0,741.0,0.62556
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,739.0,2866.0,775.0,0.77083
INSUFFICIENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,739.0,3222.0,775.0,0.43277
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,743.0,1750.0,774.0,0.8702
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,743.0,2314.0,774.0,0.99988
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,743.0,2566.0,774.0,0.9995
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,745.0,2065.0,774.0,0.74633
ZAMAYA KWAMULI AGRICULTURE COOPERATIVE SOCIETY,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,509.0,747.0,1298.0,783.0,0.91252
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,781.0,2865.0,812.0,0.98618
[NSUFFICEENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,781.0,3221.0,812.0,0.37692
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,784.0,1750.0,815.0,0.99064
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,784.0,2065.0,815.0,0.99994
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,784.0,2314.0,812.0,0.99997
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,784.0,2566.0,812.0,0.92021
CHIBAMBA € VILLAGE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,510.0,789.0,812.0,821.0,0.5812
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,818.0,2868.0,855.0,0.90843
[NSUFFICIENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,818.0,3222.0,855.0,0.50416
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,822.0,1752.0,854.0,0.76642
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,822.0,2314.0,854.0,0.99998
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,822.0,2566.0,854.0,0.98966
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,825.0,2065.0,854.0,0.99966
NAKWENDA VILLAGE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,510.0,828.0,802.0,859.0,0.80435
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,860.0,2866.0,896.0,0.96401
[NSUFFICENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,861.0,3221.0,892.0,0.65312
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,863.0,1752.0,895.0,0.78895
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,863.0,2065.0,895.0,0.99931
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,863.0,2314.0,895.0,0.99965
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,863.0,2566.0,892.0,0.99945
ALICK MULEYA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,513.0,869.0,722.0,900.0,0.82456
0,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,429.0,875.0,444.0,899.0,0.8882
INSUFFICEENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,898.0,3222.0,934.0,0.49736
CONSTRUCTION OF 2 STAFF HOUSES,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1394.0,901.0,1877.0,937.0,0.94041
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,901.0,2868.0,937.0,0.99843
CONSTRUCTION,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2181.0,902.0,2399.0,933.0,0.8252
EDUCATION,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1962.0,904.0,2128.0,936.0,0.99995
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,904.0,2566.0,933.0,0.99624
NAHILA PRIMARY SCHOOL,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,513.0,910.0,867.0,941.0,0.74901
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,937.0,2869.0,976.0,0.63762
INSUFFICENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,940.0,3221.0,971.0,0.66654
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,943.0,1752.0,974.0,0.87614
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,943.0,2065.0,974.0,0.99994
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,943.0,2314.0,974.0,0.99989
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,943.0,2563.0,974.0,0.99942
KAKUYU COMMUNITY,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,510.0,948.0,812.0,980.0,0.98602
INSUFFICINT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,977.0,3222.0,1014.0,0.45776
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,981.0,1752.0,1013.0,0.75406
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,981.0,2867.0,1013.0,0.99989
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,984.0,2065.0,1015.0,0.99985
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,984.0,2314.0,1013.0,0.99942
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2463.0,984.0,2566.0,1013.0,0.99817
15,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,414.0,989.0,445.0,1018.0,0.42235
SIACHAAMA,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,510.0,989.0,681.0,1018.0,0.99986
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,1019.0,2867.0,1051.0,0.99956
[NSUFFICEENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,1019.0,3221.0,1051.0,0.42322
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,1022.0,1752.0,1051.0,0.69314
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,1022.0,2065.0,1051.0,0.99993
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,1022.0,2317.0,1051.0,0.76701
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2466.0,1022.0,2566.0,1051.0,0.97293
KATAMBWELA VILLAGE (CHISEKESE PLACE),2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,512.0,1024.0,1109.0,1060.0,0.71496
14,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,414.0,1030.0,445.0,1056.0,0.85203
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,1057.0,2868.0,1093.0,0.99611
[NSUFFICIENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,1057.0,3222.0,1093.0,0.73712
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,1061.0,1752.0,1092.0,0.88941
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,1061.0,2317.0,1092.0,0.99989
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,1063.0,2065.0,1092.0,0.99933
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2466.0,1063.0,2566.0,1092.0,0.98446
[5,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,414.0,1066.0,445.0,1097.0,0.94868
ZINTU-NKUSOLA COMMUNITY,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,513.0,1066.0,917.0,1097.0,0.707
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,1099.0,2867.0,1130.0,0.88062
NNSUFFICIENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,1099.0,3221.0,1130.0,0.71488
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,1102.0,1752.0,1133.0,0.70678
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,1102.0,2065.0,1133.0,0.94142
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,1102.0,2317.0,1133.0,0.99782
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2466.0,1102.0,2566.0,1130.0,0.98158
MALOBA B COMMUNITY,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,513.0,1104.0,840.0,1136.0,0.6022
16,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,414.0,1107.0,448.0,1136.0,0.99876
INSUFFICEENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2911.0,1135.0,3222.0,1173.0,0.53684
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,1140.0,1752.0,1171.0,0.85792
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,1140.0,2317.0,1171.0,0.99929
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2466.0,1140.0,2566.0,1171.0,0.99239
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,1140.0,2867.0,1171.0,0.98939
MUKUYU COMMUNITY GROUP UNDER MUNSAKA VILLAGE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,514.0,1142.0,1296.0,1178.0,0.84695
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,1143.0,2065.0,1171.0,0.99993
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,1177.0,2868.0,1214.0,0.99812
INSUFFICIENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2913.0,1178.0,3221.0,1210.0,0.65154
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1398.0,1181.0,1752.0,1213.0,0.72298
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,1181.0,2065.0,1213.0,0.99998
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,1181.0,2317.0,1213.0,0.98803
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2466.0,1181.0,2566.0,1213.0,0.98967
18,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,414.0,1187.0,448.0,1215.0,0.99987
MUKUYU COMMUNITY,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,513.0,1187.0,821.0,1215.0,0.59591
INSUFFICIENT FUNDS,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2912.0,1216.0,3222.0,1252.0,0.74798
DRILLING OF A BOREHOLE,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1395.0,1219.0,1752.0,1251.0,0.73312
DRILLING,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2184.0,1219.0,2317.0,1251.0,0.87641
BBILILI,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2466.0,1219.0,2566.0,1251.0,0.99174
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2636.0,1219.0,2867.0,1251.0,0.99802
STMALELE MULTI PURPOSE SOLAR POWERED PROJECT,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,512.0,1221.0,1235.0,1257.0,0.76117
WATER,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,1965.0,1222.0,2065.0,1251.0,0.99997
19,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,414.0,1228.0,448.0,1256.0,0.73732
NOT APPROVED,2025-DUNDUMWEZI-APPROVED-AND-NOT-APPROVED-PROJECTS.pdf,1,2635.0,1257.0,2868.0,1293.0,0.67163
